Delta	B2	power
11.8	10	0.6960412884419402
11.8	20	0.6903205084465897
11.9	2	0.6263485154818462
11.9	5	0.6791227736950889
11.9	10	0.6854587903778407
11.9	20	0.688462075573494
12	2	0.6281507331431949
12	5	0.6846777675334762
12	10	0.6891318413877217
12	20	0.685165438666448
12.100000000000001	2	0.6323526273908369
12.100000000000001	5	0.6739369222540439
12.100000000000001	10	0.6845963949450364
12.100000000000001	20	0.6817415041567634
12.200000000000001	2	0.623279642377347
12.200000000000001	5	0.6822455149580227
12.200000000000001	10	0.6783295260047101
12.200000000000001	20	0.6809908759732177
12.3	2	0.6166845539888424
12.3	5	0.6797118932341503
12.3	10	0.684109225564048
12.3	20	0.6816601173577951
12.4	2	0.6311633363113403
12.4	5	0.6725735444806994
12.4	10	0.684198939532288
12.4	20	0.678401015354175
12.5	2	0.6234897097699124
12.5	5	0.6682513937894441
12.5	10	0.6848333102794899
12.5	20	0.6711327524155299
12.600000000000001	2	0.618217391329192
12.600000000000001	5	0.677111752920937
12.600000000000001	10	0.6854785319516666
12.600000000000001	20	0.6771873359570127
12.700000000000001	2	0.6180337629834769
12.700000000000001	5	0.6843698208264131
12.700000000000001	10	0.6703394085570598
12.700000000000001	20	0.6637239945345147
12.8	2	0.6215666869575688
12.8	5	0.684917626635128
12.8	10	0.6641347288847531
12.8	20	0.6692593259538914
12.9	2	0.6299888200798203
12.9	5	0.6666815853229915
12.9	10	0.6652338725222958
12.9	20	0.6743761642570351
13	2	0.6344507082927877
13	5	0.6755821607916752
13	10	0.6654036890813878
13	20	0.6673813008195629
13.100000000000001	2	0.6224089185946198
13.100000000000001	5	0.6663158048501249
13.100000000000001	10	0.663375653706965
13.100000000000001	20	0.6678800524575988
13.200000000000001	2	0.6343957444289853
13.200000000000001	5	0.6627016279158057
13.200000000000001	10	0.6499004363778789
13.200000000000001	20	0.6612199955727466
13.3	2	0.6250169860265843
13.3	5	0.652830013307178
13.3	10	0.6683930840360891
13.3	20	0.6576961879434483
13.4	2	0.6184801507488407
13.4	5	0.6693725883139252
13.4	10	0.6711680001907752
13.4	20	0.6659778262433941
13.5	2	0.6249340261374269
13.5	5	0.6522347194348685
13.5	10	0.6573323367110742
